Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-20,58.763,59.056,57.661,58.303,3822916,0.0,0.0
2018-04-23,58.338,58.931,58.017,58.093,2511359,0.0,0.0
2018-04-24,58.352,58.784,55.561,56.091,4991910,0.0,0.0
2018-04-25,58.791,59.587,57.312,59.419,5515244,0.0,0.0
2018-04-26,59.531,59.754,58.093,59.314,5020011,0.0,0.0
2018-04-27,59.182,60.18,58.617,60.082,3008784,0.0,0.0
2018-04-30,60.124,60.354,58.372,58.533,3070656,0.0,0.0
2018-05-01,58.303,60.012,58.268,59.956,3637042,0.0,0.0
2018-05-02,59.956,60.354,59.37,59.461,3035853,0.0,0.0
2018-05-03,59.307,60.228,58.673,59.984,2988804,0.0,0.0
2018-05-04,59.559,60.891,59.342,60.473,1753298,0.0,0.0
2018-05-07,60.703,61.233,60.542,60.975,2341469,0.0,0.0
2018-05-08,60.877,61.666,60.717,61.456,2141287,0.0,0.0
2018-05-09,61.666,61.98,61.366,61.791,2247243,0.0,0.0
2018-05-10,61.959,62.482,61.757,61.91,1726744,0.0,0.0
2018-05-11,62.015,62.454,61.575,61.973,1700836,0.0,0.0
2018-05-14,62.105,62.65,62.077,62.21,1460824,0.0,0.0
2018-05-15,62.008,62.384,61.791,62.015,1808596,0.0,0.0
2018-05-16,62.057,62.531,61.652,61.75,1942394,0.0,0.0
2018-05-17,61.826,63.124,61.826,62.775,2188464,0.0,0.0
2018-05-18,62.726,62.936,62.587,62.733,1874335,0.0,0.0
2018-05-21,63.312,64.219,63.285,63.906,1826126,0.0,0.0
2018-05-22,64.003,64.24,63.396,63.417,1511353,0.0,0.0
2018-05-23,63.012,63.082,62.573,62.978,1827931,0.0,0.0
2018-05-24,62.964,63.585,62.74,62.845,2291971,0.0,0.0
2018-05-25,62.594,63.082,62.419,62.664,1351001,0.0,0.0
2018-05-29,62.14,62.733,61.47,61.987,1734994,0.0,0.0
2018-05-30,62.461,62.859,62.21,62.559,1816201,0.0,0.0
2018-05-31,62.677,62.705,60.94,61.08,2564852,0.0,0.0
2018-06-01,61.694,62.105,61.338,61.589,1282168,0.0,0.0
2018-06-04,62.064,62.426,61.345,61.456,1122203,0.0,0.0
2018-06-05,61.526,61.84,61.24,61.687,1444840,0.0,0.0
2018-06-06,61.75,63.012,61.505,62.894,2311435,0.0,0.0
2018-06-07,63.09,63.623,62.733,63.532,1429372,0.349,0.0
2018-06-08,63.567,63.686,63.244,63.595,1017150,0.0,0.0
2018-06-11,64.198,65.502,63.89,65.236,2491508,0.0,0.0
2018-06-12,65.264,65.397,64.233,64.815,2478103,0.0,0.0
2018-06-13,64.752,64.752,63.826,63.918,2239509,0.0,0.0
2018-06-14,64.163,64.885,63.911,64.451,1612539,0.0,0.0
2018-06-15,64.1,64.983,63.392,64.612,3248925,0.0,0.0
2018-06-18,64.1,64.556,63.651,64.528,1065616,0.0,0.0
2018-06-19,63.974,64.366,63.055,63.826,1566393,0.0,0.0
2018-06-20,64.1,64.261,63.462,63.742,1023853,0.0,0.0
2018-06-21,63.532,63.581,62.796,63.02,2661141,0.0,0.0
2018-06-22,63.532,63.953,63.293,63.644,1782945,0.0,0.0
2018-06-25,63.223,63.23,62.389,62.964,1414162,0.0,0.0
2018-06-26,63.23,63.427,62.389,62.459,2224298,0.0,0.0
2018-06-27,63.041,63.988,62.312,62.333,2050541,0.0,0.0
2018-06-28,62.333,63.139,61.667,62.396,1749044,0.0,0.0
2018-06-29,62.789,63.574,62.522,62.922,2060853,0.0,0.0
2018-07-02,62.501,62.726,61.891,62.711,1682403,0.0,0.0
2018-07-03,62.992,63.679,62.81,63.069,1307304,0.0,0.0
2018-07-05,63.532,63.862,63.027,63.434,1898568,0.0,0.0
2018-07-06,63.258,63.392,62.655,63.02,1894186,0.0,0.0
2018-07-09,63.392,64.689,63.392,64.31,1793901,0.0,0.0
2018-07-10,64.31,64.773,63.939,64.128,991112,0.0,0.0
2018-07-11,63.497,63.497,62.564,62.606,1468429,0.0,0.0
2018-07-12,63.202,63.406,62.494,63.027,1348036,0.0,0.0
2018-07-13,62.894,63.939,62.852,63.847,1016892,0.0,0.0
2018-07-16,63.77,63.939,62.894,63.083,1328057,0.0,0.0
2018-07-17,63.09,63.911,62.852,63.735,1241049,0.0,0.0
2018-07-18,63.96,64.247,63.742,63.995,1280106,0.0,0.0
2018-07-19,63.616,64.584,63.511,64.373,1174924,0.0,0.0
2018-07-20,63.995,64.528,63.581,64.373,1880522,0.0,0.0
2018-07-23,63.897,64.135,63.041,63.216,1831540,0.0,0.0
2018-07-24,63.847,64.394,62.957,63.869,2220045,0.0,0.0
2018-07-25,64.927,67.501,64.899,67.403,4857983,0.0,0.0
2018-07-26,67.536,69.289,67.452,68.532,3562023,0.0,0.0
